Recoding ID,genre,subgenre,Song Title,singer,Gender,YouTube URL,duration_sec
AFM0086.wav,Goalpariya,,Kalar Bashi Re,Abdul Jabbar,M,https://youtu.be/T8DPKuCqMzw?si=eCX6vFrcOkqg81l5,425
AFM0087.wav,Goalpariya,,Bar Bhaiyer Bar,Abdul Jabbar,M,https://youtu.be/T8DPKuCqMzw?si=eCX6vFrcOkqg81l5,240
AFM0088.wav,Goalpariya,,Bangalor Badi Wala,Abdul Jabbar,M,https://youtu.be/T8DPKuCqMzw?si=eCX6vFrcOkqg81l5,261
AFM0089.wav,Goalpariya,,Basantu Kukilare,Abdul Jabbar,M,https://youtu.be/T8DPKuCqMzw?si=eCX6vFrcOkqg81l5,354
AFM0090.wav,Goalpariya,,Ki Diya Bandhiya,Abdul Jabbar,M,https://youtu.be/T8DPKuCqMzw?si=eCX6vFrcOkqg81l5,381
AFM0091.wav,Goalpariya,,Aakal Parishe Bhai,Abdul Jabbar,M,https://youtu.be/T8DPKuCqMzw?si=eCX6vFrcOkqg81l5,206
AFM0092.wav,Goalpariya,,Pati Dhan Nai,Abdul Jabbar,M,https://youtu.be/T8DPKuCqMzw?si=eCX6vFrcOkqg81l5,258
AFM0093.wav,Goalpariya,,Matir Manus,"Abdul Jabbar, Prasenjit Sarkar",M,https://youtu.be/CmiaVPNdPwY?si=YFBoH9V6BDX6dO2Y,339
AFM0094.wav,Goalpariya,,Elsha Mach,"Bina Das Borthakur, Dikshu Sarma",Mixed,https://youtu.be/XNYONMUCzaU?si=HKAFlR_dZFBji85E,278
AFM0095.wav,Goalpariya,,Moner Alina,Bina Das Borthakur,F,https://youtu.be/aVF_Iul8eLI?si=9cu4psMKMHHxQjzS,231
AFM0096.wav,Goalpariya,,Kalar bada gathiya,Abdul Jabbar,M,https://youtu.be/MqUJCpawrT0?si=W0LXe8d1T1RJGgDm,313
AFM0097.wav,Goalpariya,,Xhiral nodir Pandiya,Abdul Jabbar,M,https://youtu.be/x5frsQiNgkI?si=HPI1P4yU0BVVv__C,224
AFM0098.wav,Goalpariya,,Taka nai mur poisa nai,Abdul Jabbar,M,https://youtu.be/V3VfhX9mHIM?si=LEfCcHpxLxJ646Fx,376
AFM0099.wav,Goalpariya,,Tepra tepri,Abdul Jabbar and group,M,https://youtu.be/AzRpRhKq9a0?si=NqxXfPVqNmeh2R8Y,432
AFM0100.wav,Goalpariya,,Hello maidiyar,Abdul Jabbar,M,https://youtu.be/gbpIX-LjIJc?si=OCsSi5SJ2We9oYk_,231
AFM0101.wav,Goalpariya,,Adrer moina,Abdul Jabbar,M,https://youtu.be/hfEa3PWKJ-8?si=IFDxx05nE5kaXMEC,324
AFM0102.wav,Goalpariya,,Bandhu Tui,"Rahima K. Begum, Manik Ali",Mixed,https://youtu.be/pjPFmaOjUbE?si=aYhZMqf-5D6a2PJO,362
AFM0103.wav,Goalpariya,,Jal Jhol Nodit,Manik Ali,M,https://youtu.be/T5VP9yQ_2rc?si=CHyJDG2Un1ZTDPMM,351
AFM0104.wav,Goalpariya,,Bapai Hatia,Manik Ali,M,https://youtu.be/N3GYQdCy-Ig?si=fLyTF8mxa2sYq3jL,281
AFM0105.wav,Goalpariya,,Boithate Jor,Rahima K. Begum,F,https://youtu.be/N3GYQdCy-Ig?si=fLyTF8mxa2sYq3jL,372
AFM0106.wav,Goalpariya,,Sonar koina he,Manik Ali,M,https://youtu.be/tf8Yit8Qd_o?si=M3oYVqMpLWpwQ2VV,358
AFM0107.wav,Goalpariya,,Ghar kuna mushilung,Anita Saha,F,https://youtu.be/6MkjR7K6vbQ?si=NqnXrpl4rwAHDx_o,277
AFM0108.wav,Goalpariya,,Dantal hati,"Manik Ali, Anita Saha",MIxed,https://youtu.be/JtFlwE70Z3w?si=etI4Ts8IjeC6UoeM,297
AFM0109.wav,Goalpariya,,Ghul Koli kal,Manik Ali,M,https://youtu.be/4n5HJxq4tEE?si=LChimXfsrEgf0OB2,351
AFM0110.wav,Goalpariya,,O aal Chuli,"Manik Ali, Anita Saha",Mixed,https://youtu.be/1UrL5v6ZMn0?si=yR5-Ax0ZJQpz7p5o,354
