timestamp,feature_groups,num_features,svm_accuracy,svm_std,rf_accuracy,rf_std
20260719_161510,time,4,0.5673,0.2608,0.5753,0.2448
20260719_161653,spectral,6,0.6401,0.3056,0.5863,0.274
20260719_161833,mfcc,26,0.7223,0.3128,0.6611,0.3082
20260719_161944,chroma,24,0.648,0.2968,0.595,0.3068
20260719_162036,tempo,1,0.7212,0.249,0.6792,0.2713
20260719_162257,"tempo, mfcc",27,0.747,0.2936,0.7061,0.277
20260719_162424,"tempo, mfcc, chroma",51,0.6437,0.3228,0.6693,0.2972
20260719_162620,"tempo, mfcc, chroma, spectral",57,0.6514,0.33,0.6543,0.3246
